エリ-リ級	19	124,125,126,126
フラ-リ級	20	124,125,127,126
潜水カ級elite	31	127,128,128
潜水カ級	32	128,128
エリ-ヨ級	33	127,128,128
フラ-ヨ級	34	127,127,128
フラ-ホ級	35	129,130,131
エリ-タ級	36	132,133,134,135
イ級後	37	136,137,130
エリ-チ級	38	125,138,138
フラ-ヲ級-II	39	139,140,141,141
フラ-ヲ級-II	39	142,143,144,-1
フラ-タ級	40	132,132,126,145
ロ級後	41	136,137,130
フラ-ヲ級改-I	42	146,144,147,147
北方棲姫(A) No.587	43	129,146,140,143
護衛要塞(A) No.549	44	124,142,144
護衛要塞(B) No.550	45	124,142,143
護衛要塞(C) No.551	46	124,142,143
ツ級	47	148,137,126
エリ-ワ級	48	149,150,150
フラ-ル級	49	132,132,126,135
フラ-へ級	56	125,126,130,131
フラ-ロ級	57	136,127,130
エリ-イ級	58	149,138
フラ-チ級	59	125,127,127
フラ-リ級改	60	124,124,127,151
駆逐ハ級elite	61	136,127
エリ-ル級	62	132,132,134,135
エリ-ニ級	63	136,127
重巡棲姫(E3甲ラスダン)	70	158,158,159,160
戦艦棲姫	71	132,132,134,145
駆逐イ級	77	149,-1
軽巡ホ級elite	78	129,126
潜水棲姫 No.645	79	159,127,127
